Nodo,CODIGO COMPLETO,Poblacion total,Poblacion de 0 a 14 anos,Poblacion de 60 anos y mas,Poblacion femenina de 15 a 49 anos,Poblacion con discapacidad,Poblacion no vulnerable,Columna1,Longitud,Latitud,Demanda
53,1903600010116019,18,7,4,3,0,4,"-100.122307451809377, 23.421152674330688",-100.122307451809,23.4211526743306,4
54,1903600010116020,10,3,0,0,0,7,"-100.121363314235182, 23.420995156393747",-100.121363314235,23.4209951563937,2
55,1903600010116021,10,5,0,0,0,5,"-100.123315962396347, 23.420463531972544",-100.123315962396,23.4204635319725,2
56,1903600010116022,9,0,0,0,0,9,"-100.122393282493036, 23.420286323357317",-100.122393282493,23.4202863233573,2
57,1903600010116023,2,0,0,0,0,2,"-100.121534975611482, 23.420128804388657",-100.121534975611,23.4201288043886,1
58,1903600010116024,0,0,0,0,0,0,"-100.121663721645973, 23.419163996614511",-100.121663721645,23.4191639966145,0
59,1903600010116025,0,0,0,0,0,0,"-100.121749552329618, 23.418238562136970",-100.121749552329,23.4182385621369,0
60,1903600010116028,14,5,0,4,0,5,"-100.123573007742095, 23.424872870912978",-100.123573007742,23.4248728709129,3
62,1903600010116030,12,4,0,4,0,4,"-100.123852404205181, 23.423141322147298",-100.123852404205,23.4231413221472,3
63,1903600010116031,1,0,0,0,0,1,"-100.123981150230676, 23.422334052876391",-100.12398115023,23.4223340528763,1
64,1903600010116032,2,0,0,0,0,2,"-100.124066980923317, 23.421546468351981",-100.124066980923,23.4215464683519,1
65,1903600010116035,0,0,0,0,0,0,"-100.123444708430824, 23.419577486522364",-100.12344470843,23.4195774865223,0
66,1903600010116036,12,3,0,4,0,5,"-100.122522028527513, 23.419419966709594",-100.122522028527,23.4194199667095,3
67,1903600010116037,5,0,0,0,0,5,"-100.121856840693184, 23.417332811486332",-100.121856840693,23.4173328114863,1
68,1903600010116038,0,0,0,0,0,0,"-100.122114332762152, 23.416427054634372",-100.122114332762,23.4164270546343,0
70,1903600010120001,18,3,5,0,0,10,"-100.115957833454473, 23.426013886711779",-100.115957833454,23.4260138867117,4
71,1903600010120002,6,0,0,0,0,6,"-100.115056611231083, 23.425876063593737",-100.115056611231,23.4258760635937,2
72,1903600010120003,1,0,0,0,0,1,"-100.113726235553429, 23.425600416925885",-100.113726235553,23.4256004169258,1
73,1903600010120004,5,0,0,0,0,5,"-100.116086579488950, 23.425186945847233",-100.116086579488,23.4251869458472,1
74,1903600010120005,0,0,0,0,0,0,"-100.115142441914742, 23.424990054403292",-100.115142441914,23.4249900544032,0
75,1903600010120006,3,0,0,0,0,3,"-100.114026642964220, 23.424734095087029",-100.114026642964,23.424734095087,1
76,1903600010120007,3,0,0,0,0,3,"-100.111022568865280, 23.424635649065007",-100.111022568865,23.424635649065,1
77,1903600010120008,4,0,0,0,0,4,"-100.116207534156501, 23.424284338282906",-100.116207534156,23.4242843382829,1
78,1903600010120009,0,0,0,0,0,0,"-100.115306311924115, 23.424166202645253",-100.115306311924,23.4241662026452,0
79,1903600010120010,2,0,0,0,0,2,"-100.114190512973593, 23.423969309680789",-100.114190512973,23.4239693096807,1
80,1903600010120012,0,0,0,0,0,0,"-100.112881594975846, 23.423772416424018",-100.112881594975,23.423772416424,0
81,1903600010120013,0,0,0,0,0,0,"-100.111473179981459, 23.424064660688629",-100.111473179981,23.4240646606886,0
82,1903600010120014,6,0,0,0,0,6,"-100.111765796025310, 23.423536144128622",-100.111765796025,23.4235361441286,2
83,1903600010120015,10,3,4,0,0,3,"-100.116306967336797, 23.423446787085563",-100.116306967336,23.4234467870855,2
84,1903600010120016,2,0,0,0,0,2,"-100.115446042063823, 23.423354651632092",-100.115446042063,23.423354651632,1
85,1903600010120017,0,0,0,0,0,0,"-100.114609192853166, 23.423157757459411",-100.114609192853,23.4231577574594,0
86,1903600010120018,0,0,0,0,0,0,"-100.112173491790685, 23.422768256253470",-100.11217349179,23.4227682562534,0
87,1903600010120019,20,5,6,5,0,4,"-100.116385134304139, 23.422629395864057",-100.116385134304,23.422629395864,4
88,1903600010120020,9,0,0,0,0,9,"-100.115548285093482, 23.422511258748134",-100.115548285093,23.4225112587481,2
89,1903600010120021,1,0,0,0,0,1,"-100.114775808895587, 23.422334052876391",-100.114775808895,23.4223340528763,1
90,1903600010120022,26,10,7,4,3,2,"-100.116535338009527, 23.421743364922548",-100.116535338009,23.4217433649225,6
91,1903600010120023,5,0,0,0,0,5,"-100.115634115777141, 23.421625227015202",-100.115634115777,23.4216252270152,1
92,1903600010120024,5,0,0,0,0,5,"-100.114754351224676, 23.421428330268764",-100.114754351224,23.4214283302687,1
93,1903600010120025,10,0,0,0,0,10,"-100.116706999385855, 23.420975466638737",-100.116706999385,23.4209754666387,2
94,1903600010120026,6,0,0,0,0,6,"-100.115762861811618, 23.420699809756865",-100.115762861811,23.4206998097568,2
95,1903600010120027,9,0,0,0,0,9,"-100.114861639588241, 23.420601360731901",-100.114861639588,23.4206013607319,2
96,1903600010120028,20,8,0,5,0,7,"-100.116771372398603, 23.420069734727150",-100.116771372398,23.4200697347271,4
